001  00376 |Loss: 2.120 | Acc: 25.364% 
001  00377 |Loss: 2.118 | Acc: 25.410% 
001  00378 |Loss: 2.118 | Acc: 25.424% 
001  00379 |Loss: 2.117 | Acc: 25.449% 
001  00380 |Loss: 2.116 | Acc: 25.475% 
001  00381 |Loss: 2.114 | Acc: 25.511% 
001  00382 |Loss: 2.113 | Acc: 25.530% 
001  00383 |Loss: 2.112 | Acc: 25.563% 
001  00384 |Loss: 2.111 | Acc: 25.574% 
001  00385 |Loss: 2.110 | Acc: 25.609% 
001  00386 |Loss: 2.109 | Acc: 25.636% 
001  00387 |Loss: 2.108 | Acc: 25.666% 
001  00388 |Loss: 2.107 | Acc: 25.701% 
001  00389 |Loss: 2.106 | Acc: 25.719% 
001  00390 |Loss: 2.105 | Acc: 25.735% 
001  00391 |Loss: 2.104 | Acc: 25.769% 
001  00392 |Loss: 2.103 | Acc: 25.809% 
001  00393 |Loss: 2.102 | Acc: 25.821% 
002  00394 |Loss: 1.812 | Acc: 28.906% 
002  00395 |Loss: 1.786 | Acc: 31.641% 
002  00396 |Loss: 1.758 | Acc: 32.292% 
002  00397 |Loss: 1.780 | Acc: 32.422% 
002  00398 |Loss: 1.784 | Acc: 32.344% 
002  00399 |Loss: 1.814 | Acc: 32.682% 
002  00400 |Loss: 1.799 | Acc: 33.594% 
002  00401 |Loss: 1.782 | Acc: 33.594% 
002  00402 |Loss: 1.781 | Acc: 32.639% 
002  00403 |Loss: 1.777 | Acc: 33.516% 
002  00404 |Loss: 1.777 | Acc: 33.310% 
002  00405 |Loss: 1.761 | Acc: 34.245% 
002  00406 |Loss: 1.759 | Acc: 33.894% 
002  00407 |Loss: 1.762 | Acc: 34.263% 
002  00408 |Loss: 1.762 | Acc: 33.958% 
002  00409 |Loss: 1.754 | Acc: 34.863% 
002  00410 |Loss: 1.751 | Acc: 35.248% 
002  00411 |Loss: 1.756 | Acc: 34.939% 
002  00412 |Loss: 1.761 | Acc: 34.704% 
002  00413 |Loss: 1.754 | Acc: 34.883% 
002  00414 |Loss: 1.757 | Acc: 34.673% 
002  00415 |Loss: 1.745 | Acc: 35.085% 
002  00416 |Loss: 1.748 | Acc: 34.885% 
002  00417 |Loss: 1.745 | Acc: 34.896% 
002  00418 |Loss: 1.751 | Acc: 34.938% 
002  00419 |Loss: 1.743 | Acc: 35.066% 
002  00420 |Loss: 1.742 | Acc: 35.041% 
002  00421 |Loss: 1.738 | Acc: 35.045% 
002  00422 |Loss: 1.734 | Acc: 34.995% 
002  00423 |Loss: 1.732 | Acc: 34.922% 
002  00424 |Loss: 1.732 | Acc: 34.904% 
002  00425 |Loss: 1.729 | Acc: 35.083% 
002  00426 |Loss: 1.725 | Acc: 35.156% 
002  00427 |Loss: 1.724 | Acc: 35.156% 
002  00428 |Loss: 1.722 | Acc: 35.156% 
002  00429 |Loss: 1.720 | Acc: 35.200% 
002  00430 |Loss: 1.719 | Acc: 35.072% 
002  00431 |Loss: 1.717 | Acc: 35.238% 
002  00432 |Loss: 1.717 | Acc: 35.276% 
002  00433 |Loss: 1.720 | Acc: 35.137% 
002  00434 |Loss: 1.716 | Acc: 35.347% 
002  00435 |Loss: 1.710 | Acc: 35.621% 
002  00436 |Loss: 1.708 | Acc: 35.865% 
002  00437 |Loss: 1.711 | Acc: 35.920% 
002  00438 |Loss: 1.713 | Acc: 35.990% 
002  00439 |Loss: 1.711 | Acc: 36.226% 
002  00440 |Loss: 1.710 | Acc: 36.303% 
002  00441 |Loss: 1.712 | Acc: 36.230% 
002  00442 |Loss: 1.708 | Acc: 36.384% 
002  00443 |Loss: 1.708 | Acc: 36.234% 
002  00444 |Loss: 1.709 | Acc: 36.229% 
002  00445 |Loss: 1.708 | Acc: 36.358% 
002  00446 |Loss: 1.707 | Acc: 36.453% 
002  00447 |Loss: 1.708 | Acc: 36.415% 
002  00448 |Loss: 1.708 | Acc: 36.449% 
002  00449 |Loss: 1.707 | Acc: 36.398% 
002  00450 |Loss: 1.707 | Acc: 36.362% 
002  00451 |Loss: 1.707 | Acc: 36.328% 
002  00452 |Loss: 1.708 | Acc: 36.242% 
002  00453 |Loss: 1.708 | Acc: 36.263% 
002  00454 |Loss: 1.706 | Acc: 36.309% 
002  00455 |Loss: 1.705 | Acc: 36.379% 
002  00456 |Loss: 1.707 | Acc: 36.483% 
002  00457 |Loss: 1.706 | Acc: 36.487% 
002  00458 |Loss: 1.706 | Acc: 36.418% 
002  00459 |Loss: 1.704 | Acc: 36.541% 
002  00460 |Loss: 1.704 | Acc: 36.660% 
002  00461 |Loss: 1.705 | Acc: 36.684% 
002  00462 |Loss: 1.704 | Acc: 36.707% 
002  00463 |Loss: 1.706 | Acc: 36.652% 
002  00464 |Loss: 1.705 | Acc: 36.752% 
002  00465 |Loss: 1.706 | Acc: 36.784% 
002  00466 |Loss: 1.707 | Acc: 36.729% 
002  00467 |Loss: 1.707 | Acc: 36.772% 
002  00468 |Loss: 1.706 | Acc: 36.792% 
002  00469 |Loss: 1.706 | Acc: 36.863% 
002  00470 |Loss: 1.705 | Acc: 36.932% 
002  00471 |Loss: 1.705 | Acc: 36.869% 
002  00472 |Loss: 1.703 | Acc: 36.907% 
